Financial Metri,Company,2023,2022,2021
Total revenue,Microsoft,211915,198270,168088
Net income,Microsoft,72361,72738,61271
Total  assets,Microsoft,411976,364840,333779
Total liabilities,Microsoft,205753,198298,191791
Net cash from operations,Microsoft,87582,89035,76740
Total revenue,Telsa,96773,"81,462 ",53823 
Net income,Telsa,14974,12587,5644 	
Total  assets,Telsa,106618,82338 ,62131
Total liabilities,Telsa,43009 ,36440,"30548
 "
Net cash from operations,Telsa,13256,14724 ,11497
Total revenues,Apple,383285,394328,365817 
Net income	,Apple,96995,99803,94680
Total assets,Apple,352583,352755,351002
Total liabilities,Apple,290437,302083,287912
Net cash provided by operating activities,Apple,110543 ,122151,104038 
